X Y
Точки Y, D, O и F задают четырехугольник. YD = 23 см, YO = 22 см. Найти площадь данной фигуры.	[{"type": "quadrilateral", "name": YDOF}]
Найдите сумму внутренних углов разностороннего треугольника EQC со сторонами 15 см, 18 см и 20 см, а также равнобедренного треугольника NKF с основанием 12 см и равными сторонами 10 см	[{"type": "triangle", "name": "EQC"}, {"type": "triangle", "name": "NKF"}]
Докажите, что диагонали трапеции PYAK пересекаются под углом 90°.	[{"type": "trapezoid", "name": "PYAK"}]
Докажите, что диагонали квадрата JXDB являются взаимно перпендикулярными биссектрисами.	[{"type": "square", "name": "JXDB"}]
Докажите, что сумма внутренних углов четырехугольника YDHG всегда равна сумме внутренних углов двух треугольников.	[{"type": "quadrilateral", "name": "YDHG"}]
Найти периметр четырехугольника, основания которого CN = 11 см, WB = 25 см, а высота равна 19 см.	[{"type": "quadrilateral", "name": CNWB}]
Вычислите гипотенузу разностороннего треугольника LIA со сторонами 86 см, 88 см и 106 см, а также прямоугольного треугольника QWZ с катетами 86 см и 110 см	[{"type": "triangle", "name": "LIA"}, {"type": "triangle", "name": "QWZ"}]
Найдите площадь четырехугольника GEXV, основание которого равно 12 см, высота — 9 см, а один из углов равен 45°.	[{"type": "quadrilateral", "name": "GEXV"}]
Точки V, W, C и S задают параллелограмм. VW = 6 см, VC = 12 см. Найти площадь данной фигуры.	[{"type": "parallelogram", "name": VWCS}]
Определите площадь прямоугольного треугольника LGV с катетами 35 см и 42 см, а также остроугольного треугольника JKN с углами 30°, 60° и 90°	[{"type": "triangle", "name": "LGV"}, {"type": "triangle", "name": "JKN"}]
Определите, является ли треугольник RWG прямоугольным, если гипотенуза равна 18 см, а длина одного катета 15 см.	[{"type": "triangle", "name": "RWG"}]
Основания трапеции GC = 14 см, JU = 24 см. Найти диагональ.	[{"type": "trapezoid", "name": GCJU}]
Вычислите высоту тупоугольного треугольника HCY с углами 100°, 40° и 40°, а также равностороннего треугольника KLT со стороной 10 см	[{"type": "triangle", "name": "HCY"}, {"type": "triangle", "name": "KLT"}]
Найдите длину диагонали квадрата WGAR со стороной 15 см.	[{"type": "square", "name": "WGAR"}]
Точки E, D, Q и R задают квадрат. ED = 24 см, EQ = 25 см. Найти площадь данной фигуры.	[{"type": "square", "name": EDQR}]
Найти периметр квадрата, основания которого NI = 19 см, BP = 4 см, а высота равна 12 см.	[{"type": "square", "name": NIBP}]
Если периметр треугольника TXW равен 24 см, а стороны относятся как 2:3:4, найдите длину самой длинной стороны.	[{"type": "triangle", "name": "TXW"}]
Какова площадь квадрата TCIQ, длина стороны которого 65 см?	[{"type": "square", "name": "TCIQ"}]
Найдите площадь четырехугольника EOQU с вершинами в точках (0, 0), (8, 0), (8, 12) и (0, 12).	[{"type": "quadrilateral", "name": "EOQU"}]
Найти периметр четырехугольника, основания которого EL = 13 см, HD = 23 см, а высота равна 19 см.	[{"type": "quadrilateral", "name": ELHD}]
Найдите периметр четырехугольника FIOU со сторонами 3 см, 5 см, 7 см и 9 см.	[{"type": "quadrilateral", "name": "FIOU"}]
Найти периметр параллелограмма, основания которого FP = 15 см, XM = 9 см, а высота равна 9 см.	[{"type": "parallelogram", "name": FPXM}]
Найти периметр четырехугольника, основания которого JD = 22 см, PE = 10 см, а высота равна 2 см.	[{"type": "quadrilateral", "name": JDPE}]
Найдите величину ∠A в квадрате LTOX, если диагонали AC и BD пересекаются под углом 90°.	[{"type": "square", "name": "LTOX"}]
В трапеции LGFN, если AB = CD и AD = BC, как называется трапеция?	[{"type": "trapezoid", "name": "LGFN"}]
Последовательность точек U, J, H и T задаёт четырехугольник, при этом расстояние от U до J равно 8 см, а расстояние между U и H составляет 8 см. Найти периметр данной четырехугольник.	[{"type": "quadrilateral", "name": UJHT}]
Точки Z, H, G и V задают прямоугольник. ZH = 22 см, ZG = 6 см. Найти площадь данной фигуры.	[{"type": "rectangle", "name": ZHGV}]
Докажите, что диагонали квадрата RWQF пересекаются и делятся пополам под углом 90°.	[{"type": "square", "name": "RWQF"}]
Основания квадрата CO = 16 см, QU = 3 см. Найти диагональ.	[{"type": "square", "name": COQU}]
Определите, является ли треугольник TPJ прямоугольным, если гипотенуза равна 13 см, а длина одного катета 12 см.	[{"type": "triangle", "name": "TPJ"}]
Найдите сумму внутренних углов равностороннего треугольника JTB со стороной 72 см и прямоугольного треугольника UCQ со сторонами 74 см и 90 см	[{"type": "triangle", "name": "JTB"}, {"type": "triangle", "name": "UCQ"}]
Докажите, что противолежащие углы параллелограмма VLWH являются дополнительными.	[{"type": "parallelogram", "name": "VLWH"}]
Найти периметр квадрата, основания которого JT = 15 см, FB = 21 см, а высота равна 4 см.	[{"type": "square", "name": JTFB}]
Докажите, что диагонали параллелограмма ZRAE являются взаимно перпендикулярными и серединными.	[{"type": "parallelogram", "name": "ZRAE"}]
Найдите площадь квадрата XCIL со стороной 20 см.	[{"type": "square", "name": "XCIL"}]
В четырехугольнике FHVJ, если ∠A = ∠C и ∠B = ∠D, как называется четырехугольник?	[{"type": "quadrilateral", "name": "FHVJ"}]
Найдите периметр четырехугольника ESIJ со сторонами 5 см, 6 см, 7 см и 8 см.	[{"type": "quadrilateral", "name": "ESIJ"}]
Последовательность точек X, K, O и Y задаёт прямоугольник, при этом расстояние от X до K равно 9 см, а расстояние между X и O составляет 25 см. Найти периметр данной прямоугольник.	[{"type": "rectangle", "name": XKOY}]
Последовательность точек T, V, Z и X задаёт квадрат, при этом расстояние от T до V равно 24 см, а расстояние между T и Z составляет 2 см. Найти периметр данной квадрат.	[{"type": "square", "name": TVZX}]
Точки A, Z, Q и L задают параллелограмм. AZ = 22 см, AQ = 6 см. Найти площадь данной фигуры.	[{"type": "parallelogram", "name": AZQL}]
Основания прямоугольника YG = 13 см, NB = 9 см. Найти диагональ.	[{"type": "rectangle", "name": YGNB}]
Основания параллелограмма FU = 12 см, SZ = 25 см. Найти диагональ.	[{"type": "parallelogram", "name": FUSZ}]
В параллелограмме UJGV, если ∠A = 75°, найдите величину ∠B.	[{"type": "parallelogram", "name": "UJGV"}]
Докажите, что противоположные стороны четырехугольника WLFR не обязательно равны.	[{"type": "quadrilateral", "name": "WLFR"}]
Найти периметр четырехугольника, основания которого CE = 10 см, PG = 4 см, а высота равна 13 см.	[{"type": "quadrilateral", "name": CEPG}]
Основания квадрата OI = 23 см, BX = 19 см. Найти диагональ.	[{"type": "square", "name": OIBX}]
В квадрате XRHO, если AB = BC = CD = DA, найдите меру ∠A.	[{"type": "square", "name": "XRHO"}]
Точки N, S, A и M задают трапеция. NS = 10 см, NA = 7 см. Найти площадь данной фигуры.	[{"type": "trapezoid", "name": NSAM}]
Найдите периметр трапеции KCNO, основания которой равны 20 см и 25 см, а высота — 16 см.	[{"type": "trapezoid", "name": "KCNO"}]
Точки F, R, Y и E задают трапеция. FR = 6 см, FY = 6 см. Найти площадь данной фигуры.	[{"type": "trapezoid", "name": FRYE}]
Найдите величину ∠B в трапеции JDML, если ∠A = 70°.	[{"type": "trapezoid", "name": "JDML"}]
Последовательность точек Q, V, D и A задаёт прямоугольник, при этом расстояние от Q до V равно 5 см, а расстояние между Q и D составляет 2 см. Найти периметр данной прямоугольник.	[{"type": "rectangle", "name": QVDA}]
В четырехугольнике KSHR, если ∠A = 80° и ∠B = 100°, найдите сумму оставшихся двух углов.	[{"type": "quadrilateral", "name": "KSHR"}]
В равнобедренном треугольнике IDW, если углы при основании равны 70 градусов, какова величина угла при вершине?	[{"type": "triangle", "name": "IDW"}]
Найдите периметр параллелограмма QXPD, стороны которого равны 9 см и 11 см.	[{"type": "parallelogram", "name": "QXPD"}]
Как называется трапеция FAKW, у которой все стороны имеют одинаковую длину?	[{"type": "trapezoid", "name": "FAKW"}]
Определите, является ли треугольник JGK равнобедренным, если угол при основании равен 30°.	[{"type": "triangle", "name": "JGK"}]
Основания прямоугольника OK = 17 см, WM = 24 см. Найти диагональ.	[{"type": "rectangle", "name": OKWM}]
Найдите высоту равнобедренного треугольника AXO с основанием 8 см и равными сторонами по 6 см, а также равностороннего треугольника VGD со стороной 7 см	[{"type": "triangle", "name": "AXO"}, {"type": "triangle", "name": "VGD"}]
Найти периметр прямоугольника, основания которого UB = 22 см, KX = 14 см, а высота равна 22 см.	[{"type": "rectangle", "name": UBKX}]
В квадрате SHXP, если AB = CD и AD = BC, как называется квадрат?	[{"type": "square", "name": "SHXP"}]
Вычислите периметр треугольника KRV, если углы равны 40°, 50° и 90°.	[{"type": "triangle", "name": "KRV"}]
В трапеции KWNF, если ∠A = 90°, найдите меру ∠B.	[{"type": "trapezoid", "name": "KWNF"}]
Найти периметр параллелограмма, основания которого WV = 5 см, KZ = 10 см, а высота равна 5 см.	[{"type": "parallelogram", "name": WVKZ}]
Докажите, что диагонали параллелограмма ZNRJ точкой пересечения образуют угол 90°.	[{"type": "parallelogram", "name": "ZNRJ"}]
Найти периметр квадрата, основания которого VY = 19 см, OG = 13 см, а высота равна 4 см.	[{"type": "square", "name": VYOG}]
Найти периметр четырехугольника, основания которого BZ = 15 см, VN = 19 см, а высота равна 24 см.	[{"type": "quadrilateral", "name": BZVN}]
Основания квадрата TA = 12 см, FU = 15 см. Найти диагональ.	[{"type": "square", "name": TAFU}]
Последовательность точек K, G, U и Z задаёт трапеция, при этом расстояние от K до G равно 17 см, а расстояние между K и U составляет 19 см. Найти периметр данной трапеция.	[{"type": "trapezoid", "name": KGUZ}]
Найдите площадь остроугольного треугольника OEP с углами 45°, 60° и 75° и разностороннего треугольника LDX со сторонами 16 см, 18 см и 22 см	[{"type": "triangle", "name": "OEP"}, {"type": "triangle", "name": "LDX"}]
Найти периметр параллелограмма, основания которого VW = 25 см, QY = 4 см, а высота равна 11 см.	[{"type": "parallelogram", "name": VWQY}]
Найти периметр прямоугольника, основания которого SH = 23 см, AJ = 15 см, а высота равна 6 см.	[{"type": "rectangle", "name": SHAJ}]
Основания квадрата MS = 24 см, NE = 6 см. Найти диагональ.	[{"type": "square", "name": MSNE}]
В квадрате KTRQ, если ∠A = 90°, найдите величину ∠B.	[{"type": "square", "name": "KTRQ"}]
Определите площадь треугольника NRK со сторонами длиной 5, 6 и 7 единиц, используя закон косинусов	[{"type": "triangle", "name": "NRK"}]
Основания четырехугольника KD = 18 см, IO = 17 см. Найти диагональ.	[{"type": "quadrilateral", "name": KDIO}]
Найти периметр прямоугольника, основания которого TL = 6 см, NB = 16 см, а высота равна 18 см.	[{"type": "rectangle", "name": TLNB}]
Как называется квадрат TOBY, у которого все стороны одинаковой длины и все углы прямые?	[{"type": "square", "name": "TOBY"}]
Найти периметр прямоугольника, основания которого YW = 11 см, JQ = 8 см, а высота равна 7 см.	[{"type": "rectangle", "name": YWJQ}]
Точки Y, R, O и E задают квадрат. YR = 16 см, YO = 15 см. Найти площадь данной фигуры.	[{"type": "square", "name": YROE}]
Как называется параллелограмм HBEQ, у которого все стороны имеют одинаковую длину и все внутренние углы имеют одинаковую величину?	[{"type": "parallelogram", "name": "HBEQ"}]
Найти периметр прямоугольника, основания которого MN = 13 см, KZ = 25 см, а высота равна 11 см.	[{"type": "rectangle", "name": MNKZ}]
Определите площадь прямоугольного треугольника SVW с катетами 58 см и 70 см, а также остроугольного треугольника BTI с углами 30°, 60° и 90°	[{"type": "triangle", "name": "SVW"}, {"type": "triangle", "name": "BTI"}]
Докажите, что противоположные стороны трапеции QSWI не обязательно параллельны.	[{"type": "trapezoid", "name": "QSWI"}]
Вычислите сумму внутренних углов тупоугольного треугольника HIX с углами 120°, 40° и 20° и остроугольного треугольника GCQ с углами 30°, 60° и 90°	[{"type": "triangle", "name": "HIX"}, {"type": "triangle", "name": "GCQ"}]
Докажите, что диагонали параллелограмма UYRZ являются взаимно перпендикулярными и серединными.	[{"type": "parallelogram", "name": "UYRZ"}]
Точки G, J, N и P задают параллелограмм. GJ = 6 см, GN = 17 см. Найти площадь данной фигуры.	[{"type": "parallelogram", "name": GJNP}]
Точки L, M, E и C задают параллелограмм. LM = 11 см, LE = 25 см. Найти площадь данной фигуры.	[{"type": "parallelogram", "name": LMEC}]
Точки L, A, R и Y задают прямоугольник. LA = 7 см, LR = 9 см. Найти площадь данной фигуры.	[{"type": "rectangle", "name": LARY}]
Найдите длину диагонали трапеции BTJV, основания которой равны 18 см и 20 см, а высота — 14 см.	[{"type": "trapezoid", "name": "BTJV"}]
Точки E, H, P и Q задают прямоугольник. EH = 20 см, EP = 22 см. Найти площадь данной фигуры.	[{"type": "rectangle", "name": EHPQ}]
Найти периметр квадрата, основания которого YO = 18 см, GN = 3 см, а высота равна 14 см.	[{"type": "square", "name": YOGN}]
В квадрате YOXA, если ∠A = 90°, найдите величину ∠B.	[{"type": "square", "name": "YOXA"}]
Найдите величину ∠A в трапеции LHWV, если AB = 20 см, BC = 22 см, CD = 20 см и DA = 22 см.	[{"type": "trapezoid", "name": "LHWV"}]
Найдите длину диагонали четырехугольника BLHE, стороны которого имеют длину 4 см, 6 см и 8 см.	[{"type": "quadrilateral", "name": "BLHE"}]
Найдите длину диагонали квадрата RIWL со стороной 75 см.	[{"type": "square", "name": "RIWL"}]
Найдите площадь четырехугольника PQNX с вершинами в точках (0, 0), (9, 0), (9, 15) и (0, 15).	[{"type": "quadrilateral", "name": "PQNX"}]
Найти периметр параллелограмма, основания которого NT = 5 см, CX = 4 см, а высота равна 2 см.	[{"type": "parallelogram", "name": NTCX}]
Точки V, I, P и O задают параллелограмм. VI = 16 см, VP = 17 см. Найти площадь данной фигуры.	[{"type": "parallelogram", "name": VIPO}]
Основания прямоугольника YV = 12 см, TD = 5 см. Найти диагональ.	[{"type": "rectangle", "name": YVTD}]
Вычислите высоту разностороннего треугольника WOG со сторонами 52 см, 54 см и 64 см, а также равнобедренного треугольника VTM с основанием 44 см и равными сторонами 42 см	[{"type": "triangle", "name": "WOG"}, {"type": "triangle", "name": "VTM"}]
Вычислите периметр разностороннего треугольника BQE со сторонами 72 см, 74 см и 86 см, а также равностороннего треугольника XLY со стороной 70 см	[{"type": "triangle", "name": "BQE"}, {"type": "triangle", "name": "XLY"}]
Определите, лежит ли точка K(x, y) на описанной окружности треугольника CJZ со сторонами длиной 5, 6 и 7 единиц.	[{"type": "triangle", "name": "CJZ"}]
Точки O, Z, I и W задают параллелограмм. OZ = 15 см, OI = 15 см. Найти площадь данной фигуры.	[{"type": "parallelogram", "name": OZIW}]
Найдите площадь трапеции RMYZ, основания которой равны 18 см и 22 см, а высота 14 см.	[{"type": "trapezoid", "name": "RMYZ"}]
Вычислите длину высоты из вершины A в треугольнике RAY со сторонами длиной 3, 4 и 5 единиц и используйте ее, чтобы найти длину биссектрисы стороны XY	[{"type": "triangle", "name": "RAY"}]
Основания трапеции ED = 22 см, WK = 7 см. Найти диагональ.	[{"type": "trapezoid", "name": EDWK}]
Найти периметр четырехугольника, основания которого QR = 22 см, AT = 21 см, а высота равна 4 см.	[{"type": "quadrilateral", "name": QRAT}]
Найдите площадь прямоугольного треугольника AFK с катетами 52 см и 64 см, а также равностороннего треугольника XGM со стороной 50 см	[{"type": "triangle", "name": "AFK"}, {"type": "triangle", "name": "XGM"}]
Найдите периметр параллелограмма YDSA, стороны которого равны 10 см и 12 см.	[{"type": "parallelogram", "name": "YDSA"}]
Найти периметр параллелограмма, основания которого FL = 11 см, BD = 10 см, а высота равна 11 см.	[{"type": "parallelogram", "name": FLBD}]
Как называется четырехугольник RFPA, у которого все углы прямые?	[{"type": "quadrilateral", "name": "RFPA"}]
Точки G, W, I и S задают четырехугольник. GW = 10 см, GI = 8 см. Найти площадь данной фигуры.	[{"type": "quadrilateral", "name": GWIS}]
Найдите периметр четырехугольника CFNZ со сторонами 7 см, 8 см, 9 см и 10 см.	[{"type": "quadrilateral", "name": "CFNZ"}]
Найдите периметр параллелограмма TFJQ, стороны которого равны 5 см и 7 см.	[{"type": "parallelogram", "name": "TFJQ"}]
Точки D, U, W и J задают прямоугольник. DU = 20 см, DW = 12 см. Найти площадь данной фигуры.	[{"type": "rectangle", "name": DUWJ}]
Как называется квадрат DRCI, у которого все стороны одинаковой длины и все углы прямые?	[{"type": "square", "name": "DRCI"}]
Вычислите углы треугольника ZEA, если два угла являются дополнительными, а третий угол равен 30°.	[{"type": "triangle", "name": "ZEA"}]
Найдите периметр параллелограмма OTJG, стороны которого равны 9 см и 11 см.	[{"type": "parallelogram", "name": "OTJG"}]
Найдите самую длинную сторону треугольника GJB, учитывая, что две другие стороны равны и имеют длину 9 см каждая.	[{"type": "triangle", "name": "GJB"}]
Найдите периметр четырехугольника CIZY со сторонами длиной 10 см, 12 см, 14 см и 16 см.	[{"type": "quadrilateral", "name": "CIZY"}]
В четырехугольнике IVEP, если ∠A = 90°, найдите меру ∠B.	[{"type": "quadrilateral", "name": "IVEP"}]
Найдите длину медианы из вершины C в треугольнике KAI со сторонами длиной 5, 6 и 7 единиц и докажите, что она делит пополам угол между сторонамиEF и DF тогда и только тогда, когда треугольник является прямоугольным	[{"type": "triangle", "name": "KAI"}]
Основания трапеции UE = 11 см, XF = 12 см. Найти диагональ.	[{"type": "trapezoid", "name": UEXF}]
Найти периметр параллелограмма, основания которого SH = 21 см, AM = 16 см, а высота равна 20 см.	[{"type": "parallelogram", "name": SHAM}]
Докажите, что диагонали трапеции TMEH не обязательно являются взаимно перпендикулярными биссектрисами.	[{"type": "trapezoid", "name": "TMEH"}]
Определите гипотенузу прямоугольного треугольника LBV с катетами 94 см и 118 см и тупоугольного треугольника WYG с углами 125°, 40° и 15°	[{"type": "triangle", "name": "LBV"}, {"type": "triangle", "name": "WYG"}]
Основания четырехугольника ME = 24 см, KT = 4 см. Найти диагональ.	[{"type": "quadrilateral", "name": MEKT}]
Основания трапеции VN = 10 см, ZM = 12 см. Найти диагональ.	[{"type": "trapezoid", "name": VNZM}]
Основания четырехугольника QJ = 17 см, VS = 21 см. Найти диагональ.	[{"type": "quadrilateral", "name": QJVS}]
Основания трапеции BY = 17 см, IR = 11 см. Найти диагональ.	[{"type": "trapezoid", "name": BYIR}]
Основания квадрата HJ = 18 см, RP = 5 см. Найти диагональ.	[{"type": "square", "name": HJRP}]
Найдите величину ∠C в трапеции FPID, если ∠A = 100°.	[{"type": "trapezoid", "name": "FPID"}]
Основания квадрата CM = 17 см, SP = 12 см. Найти диагональ.	[{"type": "square", "name": CMSP}]
Докажите, что диагонали трапеции IJAC пересекаются под углом 90°.	[{"type": "trapezoid", "name": "IJAC"}]
В квадрате BPAW, если ∠A = 90°, найдите меру ∠D.	[{"type": "square", "name": "BPAW"}]
В квадрате DSMQ, если AB = CD и AD = BC, как называется квадрат?	[{"type": "square", "name": "DSMQ"}]
Найдите периметр трапеции XWHO, основания которой равны 20 см и 25 см, а высота — 16 см.	[{"type": "trapezoid", "name": "XWHO"}]
Найдите длину медианы из вершины B в треугольнике JXG со сторонами длиной 5, 6 и 7 единиц и докажите, что она является высотой треугольника тогда и только тогда, когда он прямоугольный.	[{"type": "triangle", "name": "JXG"}]
Как называется четырехугольник HCIJ, у которого все стороны имеют одинаковую длину и все внутренние углы имеют одинаковую величину?	[{"type": "quadrilateral", "name": "HCIJ"}]
Как называется трапеция MEFI, у которой все углы прямые?	[{"type": "trapezoid", "name": "MEFI"}]
Основания параллелограмма UX = 8 см, KT = 25 см. Найти диагональ.	[{"type": "parallelogram", "name": UXKT}]
Найти периметр квадрата, основания которого ID = 14 см, ST = 2 см, а высота равна 3 см.	[{"type": "square", "name": IDST}]
Найти периметр квадрата, основания которого AQ = 4 см, VD = 23 см, а высота равна 19 см.	[{"type": "square", "name": AQVD}]
Основания параллелограмма BQ = 22 см, WX = 10 см. Найти диагональ.	[{"type": "parallelogram", "name": BQWX}]
Последовательность точек F, C, G и Q задаёт трапеция, при этом расстояние от F до C равно 12 см, а расстояние между F и G составляет 21 см. Найти периметр данной трапеция.	[{"type": "trapezoid", "name": FCGQ}]
Найдите периметр четырехугольника MNJQ со сторонами длиной 20 см, 22 см, 24 см и 26 см.	[{"type": "quadrilateral", "name": "MNJQ"}]
Определите, является ли треугольник MLX прямоугольным, если его стороны имеют длины 5, 12 и 13 единиц	[{"type": "triangle", "name": "MLX"}]
Найдите длину стороны правильного треугольника WBE, периметр которого равен 24 см.	[{"type": "triangle", "name": "WBE"}]
Найти периметр четырехугольника, основания которого VO = 22 см, DC = 19 см, а высота равна 19 см.	[{"type": "quadrilateral", "name": VODC}]
Определите сумму внутренних углов разностороннего треугольника PEK со сторонами 7 см, 9 см и 11 см и прямоугольного треугольника FTX с катетами 8 см и 15 см	[{"type": "triangle", "name": "PEK"}, {"type": "triangle", "name": "FTX"}]
Определите, является ли треугольник ISG прямоугольным, если гипотенуза равна 10 см, а длина одного катета 6 см.	[{"type": "triangle", "name": "ISG"}]
Вычислите периметр треугольника SBN, если углы равны 45°, 50° и 85°.	[{"type": "triangle", "name": "SBN"}]
Как называется параллелограмм WJCV, у которого все стороны имеют одинаковую длину и все внутренние углы имеют одинаковую величину?	[{"type": "parallelogram", "name": "WJCV"}]
Какова площадь параллелограмма EMFC, основание которого равно 16 см, а высота — 18 см?	[{"type": "parallelogram", "name": "EMFC"}]
Основания трапеции DX = 9 см, YR = 5 см. Найти диагональ.	[{"type": "trapezoid", "name": DXYR}]
Последовательность точек Y, X, M и H задаёт параллелограмм, при этом расстояние от Y до X равно 19 см, а расстояние между Y и M составляет 4 см. Найти периметр данной параллелограмм.	[{"type": "parallelogram", "name": YXMH}]
Точки H, U, T и S задают квадрат. HU = 22 см, HT = 19 см. Найти площадь данной фигуры.	[{"type": "square", "name": HUTS}]
Последовательность точек C, U, K и H задаёт четырехугольник, при этом расстояние от C до U равно 11 см, а расстояние между C и K составляет 4 см. Найти периметр данной четырехугольник.	[{"type": "quadrilateral", "name": CUKH}]
Точки V, S, P и Z задают квадрат. VS = 16 см, VP = 17 см. Найти площадь данной фигуры.	[{"type": "square", "name": VSPZ}]
Последовательность точек L, B, E и Z задаёт четырехугольник, при этом расстояние от L до B равно 23 см, а расстояние между L и E составляет 8 см. Найти периметр данной четырехугольник.	[{"type": "quadrilateral", "name": LBEZ}]
Найдите длину высоты из вершины C в треугольнике WHM со сторонами длиной 7, 8 и 9 единиц	[{"type": "triangle", "name": "WHM"}]
Вычислите периметр треугольника VAP, если углы равны 55°, 65° и 60°.	[{"type": "triangle", "name": "VAP"}]
Найдите площадь четырехугольника FMUP с вершинами (0, 0), (4, 0), (4, 3) и (0, 3).	[{"type": "quadrilateral", "name": "FMUP"}]
Докажите, что диагонали квадрата XMDY пересекаются и делятся пополам под углом 90°.	[{"type": "square", "name": "XMDY"}]
Последовательность точек P, X, K и L задаёт четырехугольник, при этом расстояние от P до X равно 6 см, а расстояние между P и K составляет 4 см. Найти периметр данной четырехугольник.	[{"type": "quadrilateral", "name": PXKL}]
Основания четырехугольника FL = 6 см, GN = 21 см. Найти диагональ.	[{"type": "quadrilateral", "name": FLGN}]
Найти периметр прямоугольника, основания которого JI = 16 см, NA = 4 см, а высота равна 15 см.	[{"type": "rectangle", "name": JINA}]
В треугольнике KNU, если высота от вершины P до стороны QR равна 5 см, а площадь 20 см², найдите длину QR.	[{"type": "triangle", "name": "KNU"}]
Докажите, что диагонали квадрата BDOY являются взаимно перпендикулярными биссектрисами.	[{"type": "square", "name": "BDOY"}]
В параллелограмме UNCY, если ∠A = 75°, найдите величину ∠B.	[{"type": "parallelogram", "name": "UNCY"}]
Как называется параллелограмм JVPA, у которого все стороны равны и все углы прямые?	[{"type": "parallelogram", "name": "JVPA"}]
Вычислите площадь равнобедренного треугольника XIL с основанием 12 см и равными сторонами 10 см, а также равностороннего треугольника VTW со стороной 15 см	[{"type": "triangle", "name": "XIL"}, {"type": "triangle", "name": "VTW"}]
Последовательность точек J, R, V и L задаёт параллелограмм, при этом расстояние от J до R равно 11 см, а расстояние между J и V составляет 8 см. Найти периметр данной параллелограмм.	[{"type": "parallelogram", "name": JRVL}]
Точки B, E, O и A задают прямоугольник. BE = 15 см, BO = 5 см. Найти площадь данной фигуры.	[{"type": "rectangle", "name": BEOA}]
Найдите величину ∠C в трапеции CQPR, если ∠A = 100°.	[{"type": "trapezoid", "name": "CQPR"}]
Точки W, C, P и G задают прямоугольник. WC = 4 см, WP = 20 см. Найти площадь данной фигуры.	[{"type": "rectangle", "name": WCPG}]
Найдите величину ∠A в трапеции UFSO, если AB = 22 см, BC = 25 см, CD = 22 см и DA = 25 см.	[{"type": "trapezoid", "name": "UFSO"}]
Определить вершины равностороннего треугольника MKV, вписанного в окружность радиуса 5 единиц	[{"type": "triangle", "name": "MKV"}]
В трапеции QMAN, если AB = CD и AD = BC, как называется трапеция?	[{"type": "trapezoid", "name": "QMAN"}]
Вычислите площадь треугольника BYF, учитывая, что его основание 14 см, а высота 10 см.	[{"type": "triangle", "name": "BYF"}]
Найдите длину медианы трапеции FWBJ, основания которой равны 20 см и 22 см, а высота — 14 см.	[{"type": "trapezoid", "name": "FWBJ"}]
Найдите величину ∠D в параллелограмме ZEJW, если ∠A = 105°.	[{"type": "parallelogram", "name": "ZEJW"}]
Найдите длину диагонали четырехугольника PRKO, стороны которого равны 10 см, 12 см и 14 см.	[{"type": "quadrilateral", "name": "PRKO"}]
Точки S, Q, O и B задают прямоугольник. SQ = 11 см, SO = 13 см. Найти площадь данной фигуры.	[{"type": "rectangle", "name": SQOB}]
Последовательность точек L, G, X и I задаёт прямоугольник, при этом расстояние от L до G равно 25 см, а расстояние между L и X составляет 16 см. Найти периметр данной прямоугольник.	[{"type": "rectangle", "name": LGXI}]
Найти периметр трапеции, основания которого IZ = 10 см, QW = 21 см, а высота равна 5 см.	[{"type": "trapezoid", "name": IZQW}]
Найдите высоту остроугольного треугольника ZYI с углами 45°, 60° и 75°, а также равнобедренного треугольника USO с основанием 82 см и равными сторонами 80 см	[{"type": "triangle", "name": "ZYI"}, {"type": "triangle", "name": "USO"}]
Определите, лежит ли точка P(x, y) внутри треугольника INB с вершинами в (2, 3), (5, 6) и (8, 1)	[{"type": "triangle", "name": "INB"}]
Последовательность точек E, A, T и P задаёт прямоугольник, при этом расстояние от E до A равно 12 см, а расстояние между E и T составляет 23 см. Найти периметр данной прямоугольник.	[{"type": "rectangle", "name": EATP}]
В квадрате SQPM, если ∠A = 90°, найдите величину ∠B.	[{"type": "square", "name": "SQPM"}]
Последовательность точек W, J, L и X задаёт трапеция, при этом расстояние от W до J равно 22 см, а расстояние между W и L составляет 17 см. Найти периметр данной трапеция.	[{"type": "trapezoid", "name": WJLX}]
Вычислите высоту разностороннего треугольника LPW со сторонами 100 см, 102 см и 130 см, а также равнобедренного треугольника GDJ с основанием 88 см и равными сторонами 86 см	[{"type": "triangle", "name": "LPW"}, {"type": "triangle", "name": "GDJ"}]
Найти периметр параллелограмма, основания которого HV = 13 см, BG = 3 см, а высота равна 18 см.	[{"type": "parallelogram", "name": HVBG}]
Основания прямоугольника JG = 23 см, OL = 23 см. Найти диагональ.	[{"type": "rectangle", "name": JGOL}]
Найдите длину диагонали четырехугольника FKHY, стороны которого равны 16 см, 18 см и 20 см.	[{"type": "quadrilateral", "name": "FKHY"}]
Последовательность точек D, G, T и L задаёт четырехугольник, при этом расстояние от D до G равно 12 см, а расстояние между D и T составляет 6 см. Найти периметр данной четырехугольник.	[{"type": "quadrilateral", "name": DGTL}]
Найдите площадь четырехугольника YXLM с вершинами в точках (0, 0), (8, 0), (8, 12) и (0, 12).	[{"type": "quadrilateral", "name": "YXLM"}]
Как называется квадрат KLTC, у которого все стороны одинаковой длины и все углы прямые?	[{"type": "square", "name": "KLTC"}]
Как называется четырехугольник MRFN с двумя парами равных сторон?	[{"type": "quadrilateral", "name": "MRFN"}]
